datetime,longitude,latitude,x,y,mir,tir,albedo,frp,state
20191221000000,136.939453,-35.703125,2585,4534,368.5625,296.875,0.179688,-999, SA
20191224000000,137.032227,-35.677734,2589,4533,340.125,300.5,0.210938,78.47, SA
20191224000000,137.007812,-35.703125,2588,4534,364.125,299.125,0.179688,278.13, SA
20191224000000,137.03125,-35.703125,2589,4534,397.3125,307.625,0.171875,799.62, SA
20191224000000,137.053711,-35.702148,2590,4534,354.8125,306,0.109375,186.81, SA
20191224000000,137.030273,-35.727539,2589,4535,331.875,303.6875,0.101562,33.34, SA
20191231000000,136.707031,-35.754883,2575,4536,327.4375,296.625,0.085938,25.7, SA
20191231000000,136.730469,-35.754883,2576,4536,375.625,300.5,0.101562,433.26, SA
20191231000000,136.706055,-35.780273,2575,4537,343.3125,295.9375,0.085938,111.43, SA
20191231000000,136.728516,-35.780273,2576,4537,396.375,304.5,0.125,792.59, SA
20191231000000,136.751953,-35.780273,2577,4537,336.125,289.875,0.164062,68.12, SA
20191231000000,136.704102,-35.805664,2575,4538,327.8125,296.375,0.085938,27.37, SA
20191231000000,136.727539,-35.804688,2576,4538,358.625,295.6875,0.125,234.59, SA
20191231000000,136.773438,-35.804688,2578,4538,327.375,300.9375,0.125,25.48, SA
20191231000000,136.796875,-35.804688,2579,4538,340.8125,297.125,0.132812,95.48, SA
20191231000000,136.703125,-35.830078,2575,4539,327.25,294.5,0.09375,24.95, SA
20191231000000,136.726562,-35.830078,2576,4539,344.1875,292.5,0.09375,117.33, SA
20191231000000,136.794922,-35.829102,2579,4539,335.1875,293.9375,0.070312,63.05, SA
20200101000000,136.754883,-35.729492,2577,4535,328.0625,296.25,0.085938,40.07, SA
20200101000000,136.777344,-35.729492,2578,4535,364.1875,302.375,0.140625,303.23, SA
20200101000000,136.800781,-35.729492,2579,4535,379.4375,304.8125,0.148438,500.32, SA
20200101000000,136.776367,-35.754883,2578,4536,389.5625,301.8125,0.289062,669.89, SA
20200101000000,136.798828,-35.754883,2579,4536,400.125,303.625,0.335938,885.73, SA
20200102000000,136.776367,-35.754883,2578,4536,350.75,304.25,0.234375,161.33, SA
20200102000000,136.798828,-35.754883,2579,4536,368.0625,305.625,0.226562,331.51, SA
20200102000000,136.774414,-35.779297,2578,4537,371.5625,300.625,0.296875,374.67, SA
20200102000000,136.797852,-35.779297,2579,4537,400.0625,312.875,0.304688,868.49, SA
20200102000000,136.820312,-35.779297,2580,4537,353.75,295,0.28125,186.13, SA
20200102000000,136.796875,-35.804688,2579,4538,355.375,295,0.28125,200.26, SA
20200102000000,136.724609,-35.855469,2576,4540,341.1875,298.5625,0.164062,93.59, SA
20200103000000,136.638672,-35.755859,2572,4536,341.6875,295.125,0.09375,102.82, SA
20200103000000,136.661133,-35.755859,2573,4536,359.25,292.75,0.15625,242.45, SA
20200103000000,136.68457,-35.755859,2574,4536,333.875,291.5625,0.15625,57.99, SA
20200103000000,136.636719,-35.78125,2572,4537,371.5625,293.875,0.1875,380.72, SA
20200103000000,136.660156,-35.780273,2573,4537,380.5625,292.6875,0.171875,507.65, SA
20200103000000,136.682617,-35.780273,2574,4537,333.4375,282.375,0.171875,55.72, SA
20200103000000,136.612305,-35.805664,2571,4538,365.1875,286.9375,0.148438,304.44, SA
20200103000000,136.635742,-35.805664,2572,4538,400.125,312.0625,0.179688,875.9, SA
20200103000000,136.658203,-35.805664,2573,4538,388.9375,308.1875,0.132812,648.57, SA
20200103000000,136.681641,-35.805664,2574,4538,325.5,289.3125,0.117188,19.43, SA
20200103000000,136.611328,-35.831055,2571,4539,389.3125,300.4375,0.132812,655.45, SA
20200103000000,136.633789,-35.831055,2572,4539,400.125,322.5625,0.148438,875.9, SA
20200103000000,136.657227,-35.831055,2573,4539,374.25,304,0.109375,416.18, SA
20200103000000,136.609375,-35.856445,2571,4540,366.9375,292.1875,0.101562,324.32, SA
20200103000000,136.632812,-35.856445,2572,4540,392.375,294.9375,0.117188,713.44, SA
20200103000000,136.655273,-35.855469,2573,4540,352.0625,292.5625,0.117188,178.04, SA
20200103000000,136.702148,-35.855469,2575,4540,336.875,306.375,0.101562,74.09, SA
20200103000000,136.677734,-35.880859,2574,4541,353.125,288.625,0.132812,186.88, SA
20200103000000,136.700195,-35.880859,2575,4541,346,292.0625,0.140625,131.7, SA
20200103000000,136.675781,-35.905273,2574,4542,330,267.9375,0.25,39.01, SA
20200107000000,136.615234,-35.755859,2571,4536,338.0625,301.8125,0.101562,59.27, SA
20200107000000,136.612305,-35.805664,2571,4538,332.875,308,0.085938,31.37, SA
20200107000000,136.611328,-35.831055,2571,4539,336.1875,307.375,0.070312,48.76, SA
20200108000000,136.59082,-35.78125,2570,4537,339.875,304.3125,0.117188,73.56, SA
20200108000000,136.614258,-35.78125,2571,4537,343.5,307.8125,0.125,96.54, SA
20200108000000,136.587891,-35.831055,2570,4539,337.375,310.625,0.117188,58.89, SA
20200108000000,136.611328,-35.831055,2571,4539,338.1875,311.25,0.109375,63.58, SA
20200108000000,136.586914,-35.856445,2570,4540,342.125,310.5,0.125,87.62, SA
20200108000000,136.609375,-35.856445,2571,4540,346.6875,311.4375,0.109375,118.62, SA
20200108000000,136.608398,-35.880859,2571,4541,331.8125,310.8125,0.109375,29.64, SA
20200109000000,137.236328,-35.725586,2598,4535,346.375,310.1875,0.140625,108.86, SA
20200109000000,137.258789,-35.725586,2599,4535,382.6875,311.875,0.140625,515.74, SA
20200109000000,137.282227,-35.725586,2600,4535,360.125,307.875,0.101562,225.59, SA
20200109000000,137.235352,-35.750977,2598,4536,342.3125,306.875,0.1875,81.35, SA
20200109000000,137.257812,-35.750977,2599,4536,362.4375,309.0625,0.15625,249.25, SA
20200109000000,137.280273,-35.750977,2600,4536,338.625,307.9375,0.125,58.59, SA
20200109000000,136.842773,-35.803711,2581,4538,344.8125,311.5625,0.09375,97.9, SA
20200109000000,136.865234,-35.803711,2582,4538,360.6875,312.9375,0.09375,231.26, SA
20200109000000,136.84082,-35.829102,2581,4539,357.4375,312.25,0.09375,199.66, SA
20200109000000,136.864258,-35.829102,2582,4539,375.3125,314.4375,0.109375,405.22, SA
20200109000000,136.539062,-35.881836,2568,4541,335.125,303.25,0.109375,39.01, SA
20200109000000,136.5625,-35.881836,2569,4541,336.3125,309.3125,0.101562,45.44, SA
20200109000000,136.608398,-35.880859,2571,4541,341.8125,312.3125,0.09375,78.09, SA
20200109000000,136.560547,-35.90625,2569,4542,371.75,307.5,0.101562,357.66, SA
20200109000000,136.583984,-35.90625,2570,4542,346.0625,310.3125,0.109375,106.67, SA
20200109000000,136.582031,-35.931641,2570,4543,353.0625,306.375,0.101562,160.88, SA
20200109000000,136.898438,-36.029297,2584,4547,394.0625,308.1875,0.132812,721.38, SA
20200109000000,136.921875,-36.029297,2585,4547,370.75,304.8125,0.125,344.89, SA
20200109000000,136.712891,-36.055664,2576,4548,358.8125,294.0625,0.109375,212.74, SA
20200112000000,137.041016,-35.953125,2590,4544,331.5,303.5625,0.125,37.57, SA
20200112000000,137.040039,-35.977539,2590,4545,333.1875,304.6875,0.117188,45.89, SA
20200113000000,136.563477,-35.856445,2569,4540,337.6875,309.375,0.078125,41.58, SA
20200113000000,136.539062,-35.881836,2568,4541,369,302,0.070312,311.62, SA
20200113000000,136.5625,-35.881836,2569,4541,364.5625,308.625,0.085938,260.37, SA
20191221001000,136.94043,-35.678711,2585,4533,352,294.3125,0.210938,-999, SA
20191221001000,136.939453,-35.703125,2585,4534,376.4375,296.875,0.21875,-999, SA
20191221001000,136.962891,-35.703125,2586,4534,353.5625,292.0625,0.335938,-999, SA
20191221001000,137.077148,-35.702148,2591,4534,355.125,291.75,0.296875,-999, SA
20191221001000,136.938477,-35.728516,2585,4535,356.6875,289.3125,0.195312,-999, SA
20191221001000,136.960938,-35.728516,2586,4535,355.5625,288.0625,0.445312,-999, SA
20191223001000,137.053711,-35.702148,2590,4534,325.4375,295.5,0.132812,40.07, SA
20191223001000,137.099609,-35.702148,2592,4534,323.875,296.9375,0.132812,33.87, SA
20191224001000,137.007812,-35.703125,2588,4534,329.9375,299.3125,0.1875,22.23, SA
20191224001000,137.03125,-35.703125,2589,4534,389.125,301.5625,0.1875,635.57, SA
20191224001000,137.053711,-35.702148,2590,4534,333.375,298.3125,0.109375,38.93, SA
20191224001000,137.030273,-35.727539,2589,4535,342.3125,301.0625,0.125,90.34, SA
20191231001000,136.730469,-35.754883,2576,4536,380.125,301,0.078125,494.05, SA
20191231001000,136.75293,-35.754883,2577,4536,337.4375,288.0625,0.210938,70.38, SA
20191231001000,136.706055,-35.780273,2575,4537,340.125,296.9375,0.085938,86.18, SA
20191231001000,136.728516,-35.780273,2576,4537,400.125,301.6875,0.125,869.02, SA
20191231001000,136.751953,-35.780273,2577,4537,344.6875,290.375,0.21875,115.67, SA
20191231001000,136.704102,-35.805664,2575,4538,349,298.9375,0.101562,146.89, SA
20191231001000,136.727539,-35.804688,2576,4538,391.9375,299.1875,0.109375,698.01, SA
20191231001000,136.750977,-35.804688,2577,4538,339.0625,292,0.265625,79.76, SA
20191231001000,136.796875,-35.804688,2579,4538,344.1875,296.75,0.164062,112.27, SA
20191231001000,136.703125,-35.830078,2575,4539,357,296.875,0.085938,214.25, SA
20191231001000,136.726562,-35.830078,2576,4539,368.8125,293.875,0.140625,339.6, SA
20191231001000,136.794922,-35.829102,2579,4539,331.1875,293.9375,0.078125,37.72, SA
20200101001000,136.777344,-35.729492,2578,4535,370.4375,306.5625,0.132812,-999, SA
20200101001000,136.800781,-35.729492,2579,4535,373.1875,299.9375,0.179688,-999, SA
20200101001000,136.776367,-35.754883,2578,4536,396.75,307.875,0.296875,-999, SA
20200101001000,136.798828,-35.754883,2579,4536,389.9375,295.375,0.398438,-999, SA
20200102001000,136.776367,-35.754883,2578,4536,347,303.875,0.226562,126.48, SA
